name;description;Столбец1
ликантропия;Психическое заболевание (клиническая ликантропия), при котором больной считает себя волком, оборотнем или другим животным. Мифическая болезнь, вызывающая метаморфозы в теле, в ходе которых больной превращается в волка, один из вариантов териантропии — трансформации человека в животное в мифологии и спиритизме.;1526947200000
кренгование;наклон судна без выхода киля из воды, применяемый для чистки подводной части от обрастаний: ракушек и т.п., и для мелкого ремонта обшивки корпуса, разновидность килевания.;1527033600000
Алигат;объединение под одним переплетом составных частей одного произведения, вышедших в разное время.;1527120000000
экологист;лицо, озабоченное экологическими проблемами, вне зависимости от специальности, образования и социальной принадлежности.;1527206400000
Краудсорсинг;передача частным лицом или компанией некоторых бизнес-процессов или производственных функций группе людей, как правило, не специализирующихся в соответствующей области. Краудсорсинг можно описать иначе: люди собираются ради какого-то дела, объединяют свои ресурсы и достигают цели. Массовый аутсорсинг.;1527292800000
путти;Дополняющие композицию изображения эротов (амуров), гениев или ангелов в виде обнаженных (часто крылатых) мальчиков.;1527379200000
идору;В японской поп-культуре: медиа-персона, идеал и недосягаемый предмет любви поклонников. Термин подразумевает невинную привлекательность, способность вызывать восхищение и влюблять в себя.;1527465600000
Дисани́я;такое состояние человека, при котором он неспособен быстро просыпаться и приступать к обычной деятельности.;1527552000000
геокэшинг;игра с применением спутниковых навигационных систем, состоящая в нахождении тайников, спрятанных другими участниками.;1527638400000
Танорексия;психологическая зависимость человека от ультрафиолетовых лучей.;1527724800000
Реклинатор;корсет-корректор из эластичной ткани на верхне-грудной отдел позвоночника, использующийся для разведения плеч и выработки правильного стереотипа осанки.;1527811200000
Грифонаж;беглые, импровизированные наброски, создаваемые человеком несфокусированно или бессознательно, когда его внимание занято какими-то другими вопросами.;1527897600000
Флейринг;приготовление коктейлей барменом, сопровождаемое элементами жонглирования.;1527984000000
Чэболь;семейный многопрофильная промышленная группа (холдинг). Слово используется для обозначения ряда холдингов в Южной Корее, для наименования аналогичных промышленных групп в Японии используется слово дзайбацу.;1528070400000
буллинг;действие (угроза, насмешка и т.п.), которое способно  напугать, унизить и/или иным образом негативно воздействовать на человека. Кибербуллинг — буллинг в Интернете или совершаемый с помощью иных электронных устройств, наподобие сотового телефона.;1528156800000
Джентрификация ;вытеснение существующего небогатого населения в некотором «запущенном» районе новыми, более обеспеченными жильцами.;1528243200000
Поррон;стеклянный графин особой, слегка искривленной формы с длинным носиком, широким у основания и сильно сужающимся к кончику. По традиции, вино из поррона пьют, наклонив его так, чтобы содержимое начало литься из горлышка, и, постепенно отдаляя поррон от лица вверх, направляют винную струю в рот:;1528329600000
Коагулограмма (гемостазиограмма);результаты анализа свёртываемости крови пациента (диагностики тромбообразования в крови или плазме крови).;1528416000000
Сават;(французский бокс, европейский кикбоксинг, бокс ногами) — вид спортивного единоборства и система самообороны. Арсенал используемых приемов включает как ударную технику (ногами, коленями, руками), так и всевозможные захваты, заломы, броски и болевые замки.;1528502400000
Репрография;обобщенное название способов копирования и размножения документов неполиграфическими методами: фотографирование, микрофильмирование, свето- и термокопирование и др.;1528588800000
Гелиостат;прибор, способный поворачивать зеркало так, чтобы направлять солнечные лучи постоянно в одном направлении, несмотря на видимое суточное движение Солнца.;1528675200000
Джетлег;нарушение суточного ритма организма, расстройство биоритмов при резкой смене часового пояса либо посменной работе.;1528761600000
мот;Базовый элемент умной пыли (сети беспроводных микроэлектромеханических систем и дополнительных устройств, которые могут взаимодействовать между собой и получать данные о состоянии внешней среды — температуре, свете, давлении). Каждый мот имеет собственные сенсоры, вычислительный узел, коммуникацию и питание. Области применения варьируются от систем управления климатом до устройств для развлечения, взаимодействующих с другими информационными устройствами. В настоящий момент — теоретический концепт.;1528848000000
Саспенс;приём в кинематографе (реже в видеоиграх и литературе) — затягивание драматической паузы для нагнетания страха, нервного беспокойства в ожидании дальнейшего развития сюжета.;1528934400000
Крепатура;болевые ощущения в мышцах, возникающие через несколько часов или дней после чрезмерной и непривычной физической нагрузки организма.;1529020800000
Айдозер;аудиофайл, содержащий пульсирующие звуки, состоящие из определённого набора частот, предположительно вызывающих психоактивное действие, аудионаркотик.;1529107200000
гейнер;Продукт спортивного питания, способствующий росту мышечной массы без жировых отложений: специальная пищевая добавка с большим содержанием белка (15-30%) и углеводов (50-80%) и приближенным к нулю содержанием жира.;1529193600000
Эксикатор;сосуд, в котором поддерживается близкая к нулю влажность воздуха. Используется для медленного высушивания при комнатной температуре или предотвращения насыщения гигроскопичных веществ водой из воздуха.;1529280000000
Бибабо;перчаточная кукла, кукла-перчатка, простейшая кукла, состоящая из головы и платья в виде перчатки: голова имеет специальное отверстие под указательный палец, а большой и средний палец служат для жестикуляции руками куклы.;1529366400000
Кноп;плетёный шаровидный узел на конце кручёного троса.;1529452800000
ляпалиссиада;Утверждение заведомо очевидных фактов, граничащее с абсурдностью. Примеры: «Графиня рассматривала меня, глядя обоими своими глазами», «Он был мёртв и не скрывал этого», «Мёртвый труп лежал без движения и не проявлял признаков жизни».;1529539200000
чант;Джаз. Ритмическое выражение коротких разговоров, связанных с определенными ситуациями. Нечто среднее между песней и стихотворением. Сбить с чанта. Спорт. Слово или фраза, повторяющиеся черлидерами много раз с целью активизации зрителей (считается выполненным при достижении контакта со зрителями). Комп. игры. а) Накладывание чар на доспехи для улучшения их характеристик, б)  само такое улучшение.;1529625600000
бучило;Омут, водоворот. Глубокая яма с весенней водой, оставшейся после половодья. Место под колесом водяной мельницы;1529712000000
сабайон;Подливка, соус из взбитых с сахаром желтков, вина и пряностей. Десерт: яичный крем с добавлением вина (обычно марсалы или просекко), рома и корицы. В широком смысле сабайонами называют различные десерты, готовящиеся с образованием пены с добавлением алкогольных напитков.;1529798400000
Парейдолия;разновидность зрительных иллюзий: формирование иллюзорных образов, в качестве основы которых выступают детали реального объекта.;1529884800000
кракелюр;трещина красочного слоя или лака в произведении живописи.;1529971200000
Косплей;воплощение действия, совершаемого на экране. Участники косплея отождествляют себя с каким-то персонажем аниме, манги, японских видеоигр, исторических фильмов про самураев, называются его именем, носят аналогичную одежду, употребляют аналогичные речевые обороты. Во второй половине 1980-х зарубежный косплей вышел на международный уровень в форме специальных фестивалей — косплей-конов.;1530057600000
мундиаль;чемпионат мира по футболу.;1530144000000
грат;излишки металла, остающиеся на кромках изделий после обработки, валик металла, выдавленный из зоны сварки вдоль шва.;1530230400000
Дефолианты;химические вещества, которые применяются для освобождения растений от листьев.;1530316800000
Медиатор;нейтральное, независимое лицо, помогающее сторонам разрешить имеющийся конфликт, спор. Профессиональная деятельность в области альтернативного разрешения споров называется медиацией.;1530403200000
Кликбейт;такое построение заголовка, которое вызывает у пользователя непреодолимое желание перейти по ссылке.;1530489600000
наппа;Полуанилиновая дублёная кожа с однородной окраской и высокой пластичностью. Используется для шитья модной одежды, изготовления высококачественных сумок, эксклюзивных аксессуаров премиум-класса, а также для отделки салона при автотюнинге.;1530576000000
Петрикор;землистый запах, который ощущается после дождя (обычно после предварительного длительного периода жаркой и сухой погоды).;1530662400000
Мурмурация;объединение птиц (как правило, скворцов) в громадные стаи, непрерывно меняющие свои формы, благодаря чему формируются разнообразные фигуры.;1530748800000
Окклюзия;термин, который указывает на какое-либо состояние, которое обычно открыто, а в определённый момент времени полностью закрыто.;1530835200000
топпинг;что-либо, помещенное на предмет сверху, чтобы завершить его: (в строительстве) смесь для упрочнения верхнего слоя бетонного пола. (в кулинарии) соус, сироп или гарнир на продуктах питания: начинка для пиццы (все то, что лежит на красте), сироп, которым поливают десерт.;1530921600000
Фудшеринг;движение за раздачу нуждающимся свежих и пригодных к употреблению продуктов питания с истёкшим сроком реализации, сама практика раздачи таких продуктов питания.;1531008000000
Кардинг;использование чужой (ворованной) ​кредитной карты для оплаты товаров или услуг.;1531094400000
Гобо;фильтры-трафареты, позволяющие проецировать узорчатые тени.;1531180800000
Бенчрест;сверхметкая стрельба из винтовки с оптикой.;1531267200000
Читми́л;осознанное, запланированное нарушение строгой диеты, жёсткого режима питания (для людей с небольшим процентом жира — один прием пищи в неделю).;1531353600000
Кальдера;циркообразная впадина с крутыми стенками и более или менее ровным дном, образовавшаяся вследствие провала вершины вулкана. По преобладающему механизму формирования выделяют кальдеры проседания и взрывные кальдеры.;1531440000000
Рингбэктон;музыка или голосовое сообщение, которые звучит при установлении связи с абонентом (вместо традиционных длинных гудков), а также при удержании линии или переключении номеров.;1531526400000
Сидерация;запахивание в почву зелёной массы растений (отсюда название «зелёное удобрение») для обогащения почвы азотом и органическими веществами.;1531612800000
свэг;сленг. Стиль, внешний вид, манера подачи себя, свойственные безобидным выпендрежникам, собственная «фишка».;1531699200000
Деклоуинг;операция по удалению у кошек крайних фаланг пальцев вместе с когтями (чтобы кошка не могла драть мебель).;1531785600000
Теллу́рий;прибор для наглядной демонстрации годового движения Земли вокруг Солнца и суточного вращения Земли вокруг своей оси.;1531872000000
сангина (красный мел);Материал для рисования, изготовляемый из каолина (белой глины), пигмента (оксидов железа) и связующего вещества (растительного клея). При рисовании дает сочный матовый тон — от красно-коричневого до светло-розового и желтоватого. Инструмент для рисования из такого материала.;1531958400000
футеровка;внутренняя (иногда также внешняя) облицовка для защиты поверхностей от возможных механических или физических повреждений. В зависимости от назначения и вида материала может быть огнеупорной, кислотоупорной, теплоизоляционной.;1532044800000
Кирига́ми;а) изготовление фигурок и открыток из бумаги с помощью ножниц;1532131200000
Люкарна;оконный проём в скате крыши или куполе, с закрытой по бокам и сверху вертикальной рамой, чердачное, слуховое окно.;1532217600000
краст;Основа пиццы.;1532304000000
арбоскульптура;Искусство управления формой растущих деревьев.;1532390400000
Фризлайт;рисование светом при фотосъёмке на длинной выдержке, светографика, световое граффити.;1532476800000
Плейсмат;сервировочная салфетка под приборы, которая размещается поверх скатерти, подноса, либо непосредственно на столешнице.;1532563200000
Торкретирование ;метод бетонных работ, при котором бетонная смесь (торкет) послойно наносится на бетонируемую поверхность под давлением сжатого воздуха.;1532649600000
пассеровать;Обжарить (обжаривать) на умеренном огне в достаточном количестве масла мелконарезанные овощи до мягкости, избегая появления корочки, признаков обугливания, подгорания. Помимо корнеплодов — свеклы, моркови, лука — пассеруют также и муку перед добавлением ее в соус. Следует отличать от глагола пассировать — поддерживать, предупреждать несчастные случаи (например, падения) при исполнении акробатических, гимнастических, цирковых упражнений.;1532736000000
Нуазе́тка;ложка-нож, при помощи которой различные продукты можно нарезать ровными аккуратными шариками.;1532822400000
квазирента;Существенное превышение прибыли фирмы по отношению к прибыли конкурирующей фирмы вследствие монопольного обладания каким-либо производственным фактором, не связанным с природой. Некоторые виды квазирент: Интеллектуальная квазирента возникает при монопольном владении изобретением (патентом на изобретение, промышленным образцом), программным продуктом, авторским правом на художественное или научное произведение и т.п. Технологическая квазирента — при освоении эффективного нововведения (до тех пор, пока оно не станет общераспространенным). Информационная квазирента — при пионерной или монопольной реализации высокоэффективных информационных товаров и услуг. Организационно-хозяйственная, управленческая квазирента — при пионерном применении более эффективных форм организации производства, методов управления (менеджмента), организационных структур.;1532908800000
Аквапоника;способ совместной культивации рыб (аквакультура) и растений (гидропоника).;1532995200000
Юномания;психологическая зависимость от различных методик омоложения и совершентсвования своего внешнего вида: липосакция, ботокс, лифтинг и т.д.;1533081600000
Пиньята;игра, в которой играющие с завязанными глазами по очереди пытаются разбить картонную или глиняную фигуру, в которой спрятан приз (конфеты, фрукты). Также — сама картонная фигура.;1533168000000
Вишинг;вид интернет-мошенничества: технология получения доступа к конфиденциальной информации, эксплуатирующая доверие общественности к наземной линии телефонной связи. Первоначальное обращение от имени официальной службы содержит просьбу позвонить на указанный городской номер, где в свою очередь потенциальную жертву просят сообщить свои данные.;1533254400000
Талио́н;возмездие, воздаяние злом за зло (око за око, зуб за зуб).;1533340800000
беллини;Алкогольный коктейль: смесь игристого вина (традиционно просекко) и персикового пюре. В настоящее время к персиковому пюре вместо игристого вина могут добавлять джин, водку или делать безалкогольный беллини.;1533427200000
Друдл;графическая головоломка, которая имеет множество вариантов ответа. Изображается, как правило, в виде квадрата с условными начертаниями. Задача сводится к тому, чтобы увидеть в изображении самые разные предметы.;1533513600000
Импеллер;лопаточная машина, заключённая в кольцо, используется для увеличения или уменьшения давления и потока текучей среды.;1533600000000
Климатрон;помещение из прозрачных материалов для искусственного воспроизведения климатических условий, соответствующих определённым географическим зонам, и создания растительных сообществ, типичных для этих зон, оранжерея, теплица.;1533686400000
Дорхе́нгер;подвеска на дверь с крючком или отверстием для дверной ручки. Используется для общения с обслуживающим персоналом в гостиницах, а также как рекламный носитель.;1533772800000
Воксел;(разг. воксель) — аналог двумерного пиксела для трёхмерного пространства: элемент объёмного изображения, содержащий значение элемента растра в трёхмерном пространстве.;1533859200000
Диасте́ма;щель между передними центральными зубами.;1533945600000
скиарк;зимний лыжный вид спорта, аналогичный биатлону, но с луком, а не с винтовкой.;1534032000000
Самоиграйка;обобщенное (как правило, с оттенком презрения) название электронных музыкальных инструментов с функцией автоаккомпанимента (от «музыканта» требуется лишь брать аккорды, инструмент играет сам).;1534118400000
фарминг;1. Скрытое направление пользователей на подложные IP-адреса. Когда пользователь набирает адрес сайта, он попадает не на настоящий сайт, а на поддельный. Используется для сбора конфиденциальной информации, особенно относящейся к онлайновым банкам. 2. Добыча ресурсов в онлайн-игре. Может заключаться в сборе руды, трав, охоте на определённых монстров или в добыче золота всеми возможными путями. Главная цель фармера не игра, а увеличение ресурсов любым способом. Иногда фармингом вынуждены заниматься обычные игроки, чтобы накопить необходимое количество ресурсов для выковки особо серьёзного оружия или выполнения тяжелого квеста.;1534204800000
Дакимакура;равная человеческим размерам японская подушка для объятия, часто в форме или с рисунком персонажа аниме или хентая.;1534291200000
Сайклинг;высокоинтенсивная аэробная групповая тренировка на велотренажерах.;1534377600000
гонобобель;То же, что голубика.;1534464000000
тиннитус;иллюзия звона или шума в ушах, в большинстве случаев это высокий звук, напоминающий звон колокольчика. Наиболее частой причиной тиннитуса является ослабление слуха в результате постоянного воздействия шумов.;1534550400000
Пистончик ;металлический или пластиковый наконечник шнурка, чтобы облегчить вдевание шнурков в обувь и предохранить концы шнурков от распутывания.;1534636800000
Бризер;проветриватель, компактная вентиляционная система приточного типа, подающая в комнату свежий, очищенный и (при необходимости) подогретый воздух.;1534723200000
нумероним;Слово, элементы которого заменены на созвучные цифры: о5 («опять»), 7я («семья»). Слово, в котором все буквы между первой и последней заменены на число опущенных букв: i18n («internationalization»).;1534809600000
Мипл;в настольных играх: фишка в форме человечка.;1534896000000
Хумулятор;компьютерная программа, симулятор действий человека.;1534982400000
Аналемма;кривая, которую описывает Солнце на небе в течение года (ряд последовательных положений Солнца на небосводе в одно и то же время суток в течение года).;1535068800000
Фасилитатор;человек, обеспечивающий успешную групповую коммуникацию. Обеспечивая соблюдение правил встречи, её процедуры и регламента, фасилитатор позволяет её участникам сконцентрироваться на целях и содержании встречи.;1535155200000
Футон;традиционная японская постельная принадлежность: толстый хлопчатобумажный матрац, расстилаемый на ночь для сна и убираемый утром в шкаф.;1535241600000
